Issue Type,Summary,Epic Name,Priority,Description,Acceptance Criteria,Labels,Story ID,Automated Test
Story,[US-01] Consulter le catalogue d'activités,Découverte des activités,Must,"En tant que visiteur ou parent, je veux voir la liste des activités disponibles, afin de choisir une activité adaptée à mon enfant.","Given visiteur non connecté When GET /api/activities Then 200 et liste activités actives|Given aucune activité When catalogue Then message vide","frontend;public;activities",US-01,MvpAcceptanceTest.us01_publicActivitiesList
Story,[US-02] Voir le détail d'une activité,Découverte des activités,Must,"En tant que visiteur ou parent, je veux consulter les informations d'une activité.","Given activité existante When GET /api/activities/{id} Then détails complets|Given 0 place When UI Then bouton Réserver désactivé","frontend;activities",US-02,MvpAcceptanceTest.us02_activityDetail
Story,[US-03] Créer un compte parent,Compte et authentification,Must,"En tant que visiteur, je veux m'inscrire pour réserver des activités.","Given e-mail unique When POST /api/auth/register Then 201 et token|Given e-mail existant Then 400|Given succès Then e-mail bienvenue Mailpit","auth;email",US-03,MvpAcceptanceTest.us03_registerAndDuplicateEmail
Story,[US-04] Me connecter,Compte et authentification,Must,"En tant que parent inscrit, je veux me connecter.","Given identifiants valides When POST /api/auth/login Then token JWT|Given mauvais MDP Then 401","auth;jwt",US-04,MvpAcceptanceTest.us04_loginValidAndInvalid
Story,[US-05] Me déconnecter,Compte et authentification,Must,"En tant que parent connecté, je veux me déconnecter.","Given connecté When déconnexion UI Then token supprimé et routes protégées inaccessibles","frontend;auth",US-05,manual-ui
Story,[US-07] Réserver une place pour mon enfant,Réservations,Must,"En tant que parent connecté, je veux réserver une activité pour mon enfant.","Given parent + places When POST /api/bookings Then CONFIRMED et spots--|Given doublon Then 400|Given complet Then 400|Then e-mails Mailpit","booking;email;microservices",US-07,MvpAcceptanceTest.us07_createBooking
Story,[US-08] Consulter mes réservations,Réservations,Must,"En tant que parent connecté, je veux voir mes réservations.","Given parent When GET /api/bookings Then ses réservations only|Given non auth Then 401","booking",US-08,MvpAcceptanceTest.us08_listBookings
Story,[US-09] Annuler une réservation,Réservations,Must,"En tant que parent connecté, je veux annuler une réservation.","Given confirmée When DELETE Then CANCELLED et place libérée|Given autre parent Then 403|Then e-mail Mailpit","booking;email",US-09,MvpAcceptanceTest.us09_cancelBooking
Story,[US-10] Accéder à l'espace administrateur,Administration,Must,"En tant qu'administrateur, je veux accéder à l'espace admin.","Given token ADMIN When GET /api/admin/dashboard Then 200|Given PARENT Then 403|Given non auth Then 401","admin;security",US-10,MvpAcceptanceTest.us10_adminAccess
Story,[US-11] Consulter le tableau de bord,Administration,Must,"En tant qu'administrateur, je veux un tableau de bord synthétique.","Given admin When GET /api/admin/dashboard Then totaux et recentBookings","admin;gateway;bff",US-11,MvpAcceptanceTest.us11_adminDashboard
Story,[US-12] Créer une activité,Administration,Must,"En tant qu'administrateur, je veux publier une nouvelle activité.","Given admin When POST /api/activities Then créée availableSpots=maxCapacity","admin;activities",US-12,MvpAcceptanceTest.us12_createActivity
Story,[US-13] Modifier une activité,Administration,Must,"En tant qu'administrateur, je veux modifier une activité.","Given admin When PUT Then persisté|Given capacité < réservées Then 400","admin;activities",US-13,MvpAcceptanceTest.us13_updateActivity
Story,[US-17] Recevoir un e-mail de bienvenue,Notifications,Must,"En tant que nouveau parent, je veux un e-mail de bienvenue.","Given inscription When UserRegistered Then e-mail Mailpit","email;rabbitmq",US-17,manual-mailpit
Story,[US-18] E-mail confirmation de réservation,Notifications,Must,"En tant que parent, je veux un e-mail après réservation.","Given booking When BookingConfirmed Then e-mails parent+admin Mailpit","email;rabbitmq",US-18,manual-mailpit
Story,[US-19] E-mail d'annulation,Notifications,Must,"En tant que parent, je veux un e-mail d'annulation.","Given cancel When BookingCancelled Then e-mail Mailpit","email;rabbitmq",US-19,manual-mailpit
Story,[US-20] Sécuriser l'API avec JWT,Sécurité et architecture,Must,"En tant qu'équipe technique, je veux une API sécurisée par JWT.","Given no token When protégée Then 401|Given PARENT When admin Then 403|Given invalid token Then 401","security;jwt",US-20,MvpAcceptanceTest.us20_jwtSecurity
Story,[US-21] Architecture microservices,Sécurité et architecture,Must,"En tant qu'équipe technique, je veux une architecture microservices.","Given docker compose When /api via gateway Then services OK|Given parcours parent Then bout en bout","microservices;docker;gateway",US-21,MvpAcceptanceTest.us21_endToEndFlow
